id,source,target,weight
0,512,513,3
1,513,515,2
2,513,524,2
3,513,517,3
4,513,507,2
5,3,4,2
6,3,5,2
7,3,6,2
8,3,11,2
9,3,12,2
10,3,18,2
11,3,16,2
12,3,210,2
13,3,21,2
14,3,22,2
15,4,5,2
16,4,6,2
17,4,11,2
18,4,12,2
19,4,18,2
20,4,16,2
21,4,210,2
22,4,21,2
23,4,22,2
24,5,6,2
25,5,11,2
26,5,12,2
27,5,18,2
28,5,16,2
29,5,210,2
30,5,21,2
31,5,22,2
32,6,11,2
33,6,12,2
34,6,18,2
35,6,16,2
36,6,210,2
37,6,21,2
38,6,22,2
39,519,508,3
40,520,530,2
41,11,12,2
42,11,18,2
43,11,16,2
44,11,210,2
45,11,21,2
46,11,22,2
47,12,18,2
48,12,16,2
49,12,210,2
50,12,21,2
51,12,22,2
52,109,102,2
53,109,110,2
54,109,272,2
55,109,273,2
56,109,274,2
57,109,275,2
58,109,212,2
59,109,279,2
60,109,280,2
61,109,185,2
62,109,62,2
63,16,18,2
64,16,210,2
65,16,21,2
66,16,22,2
67,273,102,2
68,273,110,2
69,273,272,2
70,273,274,2
71,273,275,2
72,273,212,2
73,273,279,2
74,273,280,2
75,273,185,2
76,273,62,2
77,274,102,2
78,274,110,2
79,274,272,2
80,274,275,2
81,274,212,2
82,274,279,2
83,274,280,2
84,274,185,2
85,274,62,2
86,275,102,2
87,275,110,2
88,275,272,2
89,275,212,2
90,275,279,2
91,275,280,2
92,275,185,2
93,275,62,2
94,21,210,2
95,21,18,2
96,21,22,2
97,22,210,2
98,22,18,2
99,279,102,2
100,279,110,2
101,279,272,2
102,279,212,2
103,279,280,2
104,279,185,2
105,279,62,2
106,280,102,2
107,280,110,2
108,280,272,2
109,280,212,2
110,280,185,2
111,280,62,2
112,69,70,2
113,69,71,2
114,160,152,2
115,160,84,2
116,40,70,2
117,517,524,2
118,185,102,2
119,185,110,2
120,185,272,2
121,185,212,2
122,185,62,2
123,59,251,2
124,59,119,2
125,61,62,2
126,61,350,2
127,62,102,2
128,62,110,2
129,62,272,2
130,62,212,2
131,62,117,2
132,62,350,2
133,68,91,2
134,197,70,2
135,70,71,2
136,203,131,2
137,210,18,2
138,212,102,2
139,212,110,2
140,212,272,2
141,527,507,12
142,527,511,2
143,152,84,2
144,352,131,2
145,272,102,2
146,272,110,2
147,507,511,3
148,507,508,11
149,102,110,2
150,119,251,2
