id,source,target
0,0,507
1,1,507
2,2,507
3,3,507
4,3,508
5,4,507
6,4,508
7,5,507
8,5,508
9,6,507
10,6,508
11,7,508
12,8,508
13,9,508
14,10,508
15,11,507
16,11,508
17,12,507
18,12,508
19,13,508
20,14,508
21,15,508
22,16,507
23,16,508
24,17,508
25,18,507
26,18,508
27,19,508
28,20,508
29,21,507
30,21,508
31,22,507
32,22,508
33,23,509
34,24,509
35,25,509
36,26,509
37,27,509
38,28,509
39,29,509
40,30,509
41,31,509
42,32,509
43,33,509
44,34,509
45,35,509
46,36,509
47,37,509
48,38,509
49,39,509
50,40,513
51,40,524
52,40,510
53,41,511
54,42,511
55,43,511
56,44,511
57,45,511
58,46,511
59,47,511
60,48,511
61,49,512
62,50,512
63,51,509
64,52,509
65,53,509
66,54,509
67,55,509
68,56,509
69,57,509
70,58,509
71,59,512
72,59,513
73,60,507
74,61,507
75,61,511
76,62,527
77,62,507
78,62,511
79,63,514
80,64,514
81,65,521
82,65,515
83,66,515
84,67,515
85,67,508
86,68,520
87,68,530
88,68,516
89,69,513
90,69,517
91,70,513
92,70,524
93,70,517
94,71,513
95,71,517
96,72,518
97,73,528
98,73,525
99,73,518
100,74,515
101,75,507
102,75,519
103,76,509
104,77,509
105,78,515
106,79,517
107,80,520
108,81,517
109,82,507
110,83,507
111,84,508
112,84,519
113,85,508
114,86,508
115,87,508
116,88,508
117,89,508
118,90,508
119,91,520
120,91,530
121,92,520
122,93,520
123,94,520
124,95,520
125,96,520
126,97,522
127,98,522
128,99,523
129,100,507
130,101,507
131,102,507
132,102,527
133,103,507
134,104,507
135,105,507
136,106,507
137,107,507
138,108,507
139,109,507
140,109,527
141,110,507
142,110,527
143,111,507
144,112,507
145,113,525
146,114,526
147,115,526
148,116,526
149,117,511
150,117,527
151,118,512
152,119,512
153,119,513
154,120,508
155,121,519
156,122,519
157,123,519
158,124,519
159,125,517
160,126,521
161,127,521
162,127,513
163,128,520
164,129,520
165,130,520
166,131,513
167,131,515
168,131,507
169,132,519
170,133,511
171,134,511
172,135,511
173,136,511
174,137,511
175,138,511
176,139,511
177,140,511
178,141,511
179,142,511
180,143,511
181,144,511
182,145,511
183,146,511
184,147,528
185,148,528
186,149,528
187,150,528
188,151,508
189,152,508
190,152,519
191,153,508
192,154,508
193,155,508
194,156,508
195,157,508
196,158,508
197,159,508
198,160,508
199,160,519
200,161,508
201,162,507
202,163,507
203,164,507
204,165,507
205,166,507
206,167,507
207,168,507
208,169,507
209,170,507
210,171,507
211,172,507
212,173,507
213,174,507
214,175,507
215,176,507
216,177,507
217,178,523
218,179,523
219,180,514
220,181,514
221,182,514
222,183,514
223,184,507
224,185,507
225,185,527
226,186,527
227,187,512
228,187,517
229,188,512
230,189,520
