id,label,node_type,zbetween_central,zdeg_central,zpagerank
0,"Schlegel, David J.",Author,0.0,0.00187617260788,0.000936284424299
1,"Finkbeiner, Douglas P.",Author,0.0,0.00187617260788,0.000936284424299
2,"Davis, Marc",Author,0.0,0.00187617260788,0.000936284424299
3,"Riess, Adam G.",Author,0.00687212356766,0.00375234521576,0.00156988845411
4,"Filippenko, Alexei V.",Author,0.00687212356766,0.00375234521576,0.00156988845411
5,"Challis, Peter",Author,0.00687212356766,0.00375234521576,0.00156988845411
6,"Clocchiatti, Alejandro",Author,0.00687212356766,0.00375234521576,0.00156988845411
7,"Diercks, Alan",Author,0.0,0.00187617260788,0.000914502906217
8,"Garnavich, Peter M.",Author,0.0,0.00187617260788,0.000914502906217
9,"Gilliland, Ron L.",Author,0.0,0.00187617260788,0.000914502906217
10,"Hogan, Craig J.",Author,0.0,0.00187617260788,0.000914502906217
11,"Jha, Saurabh",Author,0.00687212356766,0.00375234521576,0.00156988845411
12,"Kirshner, Robert P.",Author,0.00687212356766,0.00375234521576,0.00156988845411
13,"Leibundgut, B.",Author,0.0,0.00187617260788,0.000914502906217
14,"Phillips, M. M.",Author,0.0,0.00187617260788,0.000914502906217
15,"Reiss, David",Author,0.0,0.00187617260788,0.000914502906217
16,"Schmidt, Brian P.",Author,0.00687212356766,0.00375234521576,0.00156988845411
17,"Schommer, Robert A.",Author,0.0,0.00187617260788,0.000914502906217
18,"Smith, R. Chris",Author,0.00687212356766,0.00375234521576,0.00156988845411
19,"Spyromilio, J.",Author,0.0,0.00187617260788,0.000914502906217
20,"Stubbs, Christopher",Author,0.0,0.00187617260788,0.000914502906217
21,"Suntzeff, Nicholas B.",Author,0.00687212356766,0.00375234521576,0.00156988845411
22,"Tonry, John",Author,0.00687212356766,0.00375234521576,0.00156988845411
23,"Spergel, D. N.",Author,0.0,0.00187617260788,0.00103298259894
24,"Verde, L.",Author,0.0,0.00187617260788,0.00103298259894
25,"Peiris, H. V.",Author,0.0,0.00187617260788,0.00103298259894
26,"Komatsu, E.",Author,0.0,0.00187617260788,0.00103298259894
27,"Nolta, M. R.",Author,0.0,0.00187617260788,0.00103298259894
28,"Bennett, C. L.",Author,0.0,0.00187617260788,0.00103298259894
29,"Halpern, M.",Author,0.0,0.00187617260788,0.00103298259894
30,"Hinshaw, G.",Author,0.0,0.00187617260788,0.00103298259894
31,"Jarosik, N.",Author,0.0,0.00187617260788,0.00103298259894
32,"Kogut, A.",Author,0.0,0.00187617260788,0.00103298259894
33,"Limon, M.",Author,0.0,0.00187617260788,0.00103298259894
34,"Meyer, S. S.",Author,0.0,0.00187617260788,0.00103298259894
35,"Page, L.",Author,0.0,0.00187617260788,0.00103298259894
36,"Tucker, G. S.",Author,0.0,0.00187617260788,0.00103298259894
37,"Weiland, J. L.",Author,0.0,0.00187617260788,0.00103298259894
38,"Wollack, E.",Author,0.0,0.00187617260788,0.00103298259894
39,"Wright, E. L.",Author,0.0,0.00187617260788,0.00103298259894
40,"Witten, Edward",Author,0.0106790193119,0.00562851782364,0.00241707156452
41,"Novoselov, K. S.",Author,0.0,0.00187617260788,0.000994035184911
42,"Geim, A. K.",Author,0.0,0.00187617260788,0.000994035184911
43,"Morozov, S. V.",Author,0.0,0.00187617260788,0.000994035184911
44,"Jiang, D.",Author,0.0,0.00187617260788,0.000994035184911
45,"Katsnelson, M. I.",Author,0.0,0.00187617260788,0.000994035184911
46,"Grigorieva, I. V.",Author,0.0,0.00187617260788,0.000994035184911
47,"Dubonos, S. V.",Author,0.0,0.00187617260788,0.000994035184911
48,"Firsov, A. A.",Author,0.0,0.00187617260788,0.000994035184911
49,"Randall, Lisa",Author,0.0,0.00187617260788,0.000973306807761
50,"Sundrum, Raman",Author,0.0,0.00187617260788,0.000973306807761
51,"Bean, R.",Author,0.0,0.00187617260788,0.00103298259894
52,"Doré, O.",Author,0.0,0.00187617260788,0.00103298259894
53,"Dunkley, J.",Author,0.0,0.00187617260788,0.00103298259894
54,"Hill, R. S.",Author,0.0,0.00187617260788,0.00103298259894
55,"Odegard, N.",Author,0.0,0.00187617260788,0.00103298259894
56,"Smith, K. M.",Author,0.0,0.00187617260788,0.00103298259894
57,"Gold, B.",Author,0.0,0.00187617260788,0.00103298259894
58,"Larson, D.",Author,0.0,0.00187617260788,0.00103298259894
59,"Guth, Alan H.",Author,0.0170424889616,0.00375234521576,0.00161457559486
60,"Navarro, Julio F.",Author,0.0,0.00187617260788,0.000936284424299
61,"Frenk, Carlos S.",Author,0.0408474281388,0.00375234521576,0.00164942073281
62,"White, Simon D. M.",Author,0.0595399984819,0.00562851782364,0.00231272828952
63,"Bertin, E.",Author,0.0,0.00187617260788,0.00115586209802
64,"Arnouts, S.",Author,0.0,0.00187617260788,0.00115586209802
65,"Weinberg, Steven",Author,0.018192721235,0.00375234521576,0.00166801434956
66,"Binney, James",Author,0.0,0.00187617260788,0.000951653508721
67,"Tremaine, Scott",Author,0.0111326041533,0.00375234521576,0.00158525753853
68,"Maldacena, Juan",Author,0.0150164341435,0.00562851782364,0.00260505756039
69,"Arkani-Hamed, Nima",Author,0.0173951529857,0.00375234521576,0.00159915874115
70,"Dimopoulos, Savas",Author,0.0255046622184,0.00562851782364,0.00227313041889
71,"Dvali, Gia",Author,0.0173951529857,0.00375234521576,0.00159915874115
72,"Nakamura, K.",Author,0.0,0.00187617260788,0.00117153224621
73,Particle Data Group,Author,0.000169278731538,0.00562851782364,0.00288999814476
74,"Peebles, Phillip James Edwin",Author,0.0,0.00187617260788,0.000951653508721
75,"Kennicutt, Robert C., Jr.",Author,0.0263544253462,0.00375234521576,0.00160831019759
76,"Barnes, C.",Author,0.0,0.00187617260788,0.00103298259894
77,"Greason, M. R.",Author,0.0,0.00187617260788,0.00103298259894
78,"Wald, R. M.",Author,0.0,0.00187617260788,0.000951653508721
79,"Antoniadis, Ignatios",Author,0.0,0.00187617260788,0.000957889954054
80,"Nilles, H. P.",Author,0.0,0.00187617260788,0.00099935072088
81,"Linde, A. D.",Author,0.0,0.00187617260788,0.000957889954054
82,"Press, William H.",Author,0.0,0.00187617260788,0.000936284424299
83,"Schechter, Paul",Author,0.0,0.00187617260788,0.000936284424299
84,"Condon, J. J.",Author,0.00132783043108,0.00375234521576,0.00158652867951
85,"Cotton, W. D.",Author,0.0,0.00187617260788,0.000914502906217
86,"Greisen, E. W.",Author,0.0,0.00187617260788,0.000914502906217
87,"Yin, Q. F.",Author,0.0,0.00187617260788,0.000914502906217
88,"Perley, R. A.",Author,0.0,0.00187617260788,0.000914502906217
89,"Taylor, G. B.",Author,0.0,0.00187617260788,0.000914502906217
90,"Broderick, J. J.",Author,0.0,0.00187617260788,0.000914502906217
91,"Aharony, Ofer",Author,0.0119623636954,0.00375234521576,0.00173885042154
92,"Gubser, Steven S.",Author,0.0,0.00187617260788,0.00099935072088
93,"Ooguri, Hirosi",Author,0.0,0.00187617260788,0.00099935072088
94,"Oz, Yaron",Author,0.0,0.00187617260788,0.00099935072088
95,"Haber, H. E.",Author,0.0,0.00187617260788,0.00099935072088
96,"Kane, G. L.",Author,0.0,0.00187617260788,0.00099935072088
97,"Brans, C.",Author,0.0,0.00187617260788,0.00118453398114
98,"Dicke, R. H.",Author,0.0,0.00187617260788,0.00118453398114
99,"Chabrier, Gilles",Author,0.0,0.00187617260788,0.00129922151362
100,"Strolger, Louis-Gregory",Author,0.0,0.00187617260788,0.000936284424299
101,"Casertano, Stefano",Author,0.0,0.00187617260788,0.000936284424299
102,"Ferguson, Henry C.",Author,0.00903793925984,0.00375234521576,0.00159959198102
103,"Mobasher, Bahram",Author,0.0,0.00187617260788,0.000936284424299
104,"Li, Weidong",Author,0.0,0.00187617260788,0.000936284424299
105,"Chornock, Ryan",Author,0.0,0.00187617260788,0.000936284424299
106,"Leibundgut, Bruno",Author,0.0,0.00187617260788,0.000936284424299
107,"Dickinson, Mark",Author,0.0,0.00187617260788,0.000936284424299
108,"Livio, Mario",Author,0.0,0.00187617260788,0.000936284424299
109,"Giavalisco, Mauro",Author,0.00903793925984,0.00375234521576,0.00159959198102
110,"Steidel, Charles C.",Author,0.00903793925984,0.00375234521576,0.00159959198102
111,"Benítez, Txitxo",Author,0.0,0.00187617260788,0.000936284424299
112,"Tsvetanov, Zlatan",Author,0.0,0.00187617260788,0.000936284424299
113,"Olive, K. A.",Author,0.0,0.00187617260788,0.00117153224621
114,"Copeland, Edmund J.",Author,0.0,0.00187617260788,0.00118453398114
115,"Sami, M.",Author,0.0,0.00187617260788,0.00118453398114
116,"Tsujikawa, Shinji",Author,0.0,0.00187617260788,0.00118453398114
117,"Springel, Volker",Author,0.0096546310832,0.00375234521576,0.00165734274163
118,"Albrecht, Andreas",Author,0.0,0.00187617260788,0.000973306807761
119,"Steinhardt, Paul J.",Author,0.0170424889616,0.00375234521576,0.00161457559486
