id,source,target,weight
0,0,10,1
1,0,11,1
2,0,12,1
3,0,13,1
4,0,14,1
5,0,15,1
6,0,16,1
7,0,17,1
8,0,18,1
9,0,148,1
10,0,149,1
11,0,150,1
12,0,151,1
13,0,152,1
14,0,153,1
15,0,154,1
16,0,155,1
17,0,31,1
18,0,39,1
19,0,40,1
20,0,41,1
21,0,42,1
22,0,43,1
23,0,44,1
24,0,45,1
25,0,46,1
26,0,318,1
27,0,319,1
28,0,320,1
29,0,321,1
30,0,322,1
31,0,323,1
32,0,324,1
33,0,325,1
34,0,326,1
35,0,327,1
36,0,328,1
37,0,329,1
38,0,82,1
39,0,83,1
40,0,84,1
41,0,85,1
42,0,86,1
43,0,87,1
44,0,489,1
45,0,490,1
46,0,491,1
47,0,492,1
48,0,625,1
49,0,626,1
50,0,627,1
51,0,628,1
52,0,629,1
53,0,630,1
54,0,631,1
55,1,2,1
56,1,3,1
57,1,4,1
58,1,5,1
59,1,6,1
60,1,519,1
61,1,520,1
62,1,9,1
63,1,10,1
64,1,11,1
65,1,12,1
66,1,13,1
67,1,14,1
68,1,527,1
69,1,16,1
70,1,17,1
71,1,18,1
72,1,19,1
73,1,20,1
74,1,21,1
75,1,22,1
76,1,23,1
77,1,536,1
78,1,537,1
79,1,538,1
80,1,539,1
81,1,540,1
82,1,541,1
83,1,30,1
84,1,31,1
85,1,546,1
86,1,36,1
87,1,40,1
88,1,554,1
89,1,555,1
90,1,556,1
91,1,47,1
92,1,48,1
93,1,49,1
94,1,50,1
95,1,51,1
96,1,52,1
97,1,53,1
98,1,521,1
99,1,569,1
100,1,570,1
101,1,571,1
102,1,572,1
103,1,522,1
104,1,62,1
105,1,575,1
106,1,576,1
107,1,577,1
108,1,66,1
109,1,523,1
110,1,524,1
111,1,525,1
112,1,80,1
113,1,81,1
114,1,82,1
115,1,595,1
116,1,84,1
117,1,85,1
118,1,86,1
119,1,87,1
120,1,89,1
121,1,442,1
122,1,528,1
123,1,610,1
124,1,611,1
125,1,612,1
126,1,613,1
127,1,614,1
128,1,529,1
129,1,616,1
130,1,617,1
131,1,618,1
132,1,619,1
133,1,620,1
134,1,621,1
135,1,622,1
136,1,623,1
137,1,624,1
138,1,531,1
139,1,532,1
140,1,127,1
141,1,534,1
142,1,535,1
