id,label,node_type,zbetween_central,zdeg_central,zpagerank
3,"Hubbard, W. B.",Author,0.0,0.025974025974,0.00469676381351
4,"Lunine, J. I.",Author,0.0,0.025974025974,0.00469676381351
379,"Weiss, W.",Author,0.0,0.025974025974,0.0128205128205
10,"Marois, Christian",Author,0.00667293233083,0.311688311688,0.0206335817649
11,"Macintosh, Bruce",Author,0.00667293233083,0.311688311688,0.0206335817649
12,"Barman, Travis",Author,0.00667293233083,0.311688311688,0.0206335817649
13,"Zuckerman, B.",Author,0.245907382092,0.428571428571,0.0292462076342
14,"Song, Inseok",Author,0.0,0.194805194805,0.0121725597914
271,"Shporer, A.",Author,0.0,0.025974025974,0.0128205128205
16,"Lafrenière, David",Author,0.0,0.194805194805,0.0121725597914
17,"Doyon, René",Author,0.0,0.194805194805,0.0121725597914
18,"Fischer, Debra A.",Author,0.0239234449761,0.233766233766,0.0167820915106
20,"Charbonneau, David",Author,0.0,0.207792207792,0.0125845370874
24,"Santos, N. C.",Author,0.0,0.142857142857,0.0123766224491
26,"Mayor, M.",Author,0.0,0.142857142857,0.0123766224491
30,"Latham, David W.",Author,0.0,0.038961038961,0.00491054653967
31,"Marcy, Geoffrey W.",Author,0.092002734108,0.298701298701,0.0247542712203
36,"Torres, G.",Author,0.0,0.116883116883,0.0103081703929
40,"Graham, James R.",Author,0.0,0.194805194805,0.0121725597914
47,"Allen, Lori E.",Author,0.0,0.207792207792,0.0125845370874
48,"Megeath, S. Thomas",Author,0.0,0.207792207792,0.0125845370874
307,"Marley, Mark S.",Author,0.0,0.038961038961,0.00491054653967
62,"Burrows, Adam",Author,0.0362269309638,0.233766233766,0.0164676213264
66,"Knutson, Heather A.",Author,0.0,0.207792207792,0.0125845370874
267,"Pont, F.",Author,0.0,0.025974025974,0.0128205128205
71,"Queloz, D.",Author,0.0,0.142857142857,0.0123766224491
79,"Udry, S.",Author,0.165413533835,0.25974025974,0.0209139504683
80,"Mamajek, Eric E.",Author,0.0,0.012987012987,0.00260953037503
82,"Holman, Matthew J.",Author,0.0,0.194805194805,0.0121725597914
84,"Deming, Drake",Author,0.0138157894737,0.324675324675,0.0224914095453
85,"Seager, Sara",Author,0.0322710184552,0.337662337662,0.0246326283597
86,"Richardson, L. Jeremy",Author,0.00667293233083,0.311688311688,0.0206335817649
87,"Harrington, Joseph",Author,0.00667293233083,0.311688311688,0.0206335817649
96,"Mordasini, C.",Author,0.0,0.142857142857,0.0123766224491
97,"Benz, W.",Author,0.0,0.142857142857,0.0123766224491
270,"Mazeh, T.",Author,0.0,0.025974025974,0.0128205128205
114,"Bouchy, F.",Author,0.0,0.142857142857,0.0123766224491
115,"Lovis, C.",Author,0.0,0.142857142857,0.0123766224491
116,"Pepe, F.",Author,0.0,0.142857142857,0.0123766224491
117,"Bertaux, J. -L.",Author,0.0,0.142857142857,0.0123766224491
374,"Auvergne, M.",Author,0.0,0.025974025974,0.0128205128205
119,"Ségransan, D.",Author,0.0,0.142857142857,0.0123766224491
633,Science,Journal,0.000854408749146,0.0649350649351,0.024178253502
634,The Astrophysical Journal,Journal,0.0213602187286,0.12987012987,0.0521704946217
635,Astronomy and Astrophysics,Journal,0.0112781954887,0.0519480519481,0.0252902632346
636,The Astrophysical Journal Supplement Series,Journal,0.0,0.025974025974,0.00653706360976
639,Monthly Notices of the Royal Astronomical Society,Journal,0.0,0.012987012987,0.00422703037286
640,Reviews of Modern Physics,Journal,0.0,0.012987012987,0.00393847851272
641,Annual Review of Astronomy and Astrophysics,Journal,0.000341763499658,0.0519480519481,0.00936486727209
642,Nature,Journal,0.0,0.038961038961,0.0199290741405
643,ArXiv e-prints,Journal,0.0,0.012987012987,0.0111388907222
644,Publications of the Astronomical Society of the Pacific,Journal,0.0,0.025974025974,0.00740117613267
646,Progress of Theoretical Physics Supplement,Journal,0.0,0.012987012987,0.00326667798284
647,The Astronomical Journal,Journal,0.0,0.012987012987,0.00326667798284
654,Proceedings of the National Academy of Science,Journal,0.0,0.025974025974,0.00455120102761
152,"Valenti, Jeff A.",Author,0.0,0.025974025974,0.00351924514311
