id,source,target,weight
0,640,634,3
1,640,642,1
2,640,647,1
3,641,642,2
4,641,644,2
5,641,647,1
6,641,654,1
7,641,633,3
8,641,634,4
9,641,636,1
10,642,644,1
11,642,647,1
12,642,649,1
13,642,657,1
14,642,633,8
15,642,634,17
16,642,635,1
17,642,639,1
18,643,634,1
19,643,635,12
20,644,654,1
21,644,633,1
22,644,634,6
23,644,635,1
24,644,636,1
25,644,639,1
26,646,634,2
27,647,633,1
28,647,634,2
29,647,636,1
30,649,634,1
31,653,635,1
32,654,634,2
33,654,636,1
34,654,633,2
35,637,634,1
36,637,635,1
37,658,635,3
38,633,634,16
39,633,635,1
40,633,636,3
41,633,639,1
42,665,634,1
43,665,639,1
44,666,635,1
45,635,636,1
46,635,634,10
47,635,639,3
48,636,634,4
49,634,639,1
