id,label,node_type,zbetween_central,zdeg_central,zpagerank
0,"Kroupa, Pavel",Author,0.0,0.00149700598802,0.000713398601199
1,"Burrows, A.",Author,0.00757970911898,0.00299401197605,0.00130729423615
2,"Marley, M.",Author,0.0,0.00149700598802,0.000735110503396
3,"Hubbard, W. B.",Author,0.00100353072776,0.00299401197605,0.00122249215441
4,"Lunine, J. I.",Author,0.00100353072776,0.00299401197605,0.00122249215441
5,"Guillot, T.",Author,0.0,0.00149700598802,0.000735110503396
6,"Saumon, D.",Author,0.0,0.00149700598802,0.000735110503396
7,"Freedman, R.",Author,0.0,0.00149700598802,0.000735110503396
8,"Sudarsky, D.",Author,0.0,0.00149700598802,0.000735110503396
9,"Sharp, C.",Author,0.0,0.00149700598802,0.000735110503396
10,"Marois, Christian",Author,0.00888430776261,0.00449101796407,0.00173339756153
11,"Macintosh, Bruce",Author,0.00888430776261,0.00449101796407,0.00173339756153
12,"Barman, Travis",Author,0.00888430776261,0.00449101796407,0.00173339756153
13,"Zuckerman, B.",Author,0.100096867761,0.0059880239521,0.00224913550621
14,"Song, Inseok",Author,0.00241800555568,0.00299401197605,0.00122429385796
15,"Patience, Jennifer",Author,0.0,0.00149700598802,0.000713398601199
16,"Lafrenière, David",Author,0.00241800555568,0.00299401197605,0.00122429385796
17,"Doyon, René",Author,0.00241800555568,0.00299401197605,0.00122429385796
18,"Fischer, Debra A.",Author,0.0098768043264,0.00449101796407,0.00173575198114
19,"Valenti, Jeff",Author,0.0,0.00149700598802,0.000735110503396
20,"Charbonneau, David",Author,0.00432767419404,0.00299401197605,0.00124421420697
21,"Brown, Timothy M.",Author,0.0,0.00149700598802,0.000735110503396
22,"Noyes, Robert W.",Author,0.0,0.00149700598802,0.000735110503396
23,"Gilliland, Ronald L.",Author,0.0,0.00149700598802,0.000735110503396
24,"Santos, N. C.",Author,0.000258355806781,0.00299401197605,0.00119022477555
25,"Israelian, G.",Author,0.0,0.00149700598802,0.000739953191312
26,"Mayor, M.",Author,0.000258355806781,0.00299401197605,0.00119022477555
27,"Raghavan, Deepak",Author,0.0,0.00149700598802,0.000735673369818
28,"McAlister, Harold A.",Author,0.0,0.00149700598802,0.000735673369818
29,"Henry, Todd J.",Author,0.0,0.00149700598802,0.000735673369818
30,"Latham, David W.",Author,0.00558475667275,0.00299401197605,0.00124656862658
31,"Marcy, Geoffrey W.",Author,0.0254394343091,0.00898203592814,0.00323057468245
32,"Mason, Brian D.",Author,0.0,0.00149700598802,0.000735673369818
33,"Gies, Douglas R.",Author,0.0,0.00149700598802,0.000735673369818
34,"White, Russel J.",Author,0.0,0.00149700598802,0.000735673369818
35,"ten Brummelaar, Theo A.",Author,0.0,0.00149700598802,0.000735673369818
36,"Torres, G.",Author,0.0261209298013,0.00449101796407,0.00186504739025
37,"Andersen, J.",Author,0.0,0.00149700598802,0.000838414188812
38,"Giménez, A.",Author,0.0,0.00149700598802,0.000838414188812
39,"Kalas, Paul",Author,0.0,0.00149700598802,0.000713398601199
40,"Graham, James R.",Author,0.00241800555568,0.00299401197605,0.00122429385796
41,"Chiang, Eugene",Author,0.00545214948884,0.00299401197605,0.00123274148522
42,"Fitzgerald, Michael P.",Author,0.0,0.00149700598802,0.000713398601199
43,"Clampin, Mark",Author,0.0,0.00149700598802,0.000713398601199
44,"Kite, Edwin S.",Author,0.0,0.00149700598802,0.000713398601199
45,"Stapelfeldt, Karl",Author,0.0,0.00149700598802,0.000713398601199
46,"Krist, John",Author,0.0,0.00149700598802,0.000713398601199
47,"Allen, Lori E.",Author,0.00432767419404,0.00299401197605,0.00124421420697
48,"Megeath, S. Thomas",Author,0.00432767419404,0.00299401197605,0.00124421420697
49,"Torres, Guillermo",Author,0.0,0.00149700598802,0.000735110503396
50,"Alonso, Roi",Author,0.0,0.00149700598802,0.000735110503396
51,"Mandushev, Georgi",Author,0.0,0.00149700598802,0.000735110503396
52,"O'Donovan, Francis T.",Author,0.0,0.00149700598802,0.000735110503396
53,"Sozzetti, Alessandro",Author,0.0,0.00149700598802,0.000735110503396
54,"Li, Miao",Author,0.0,0.00149700598802,0.000979500001214
55,"Li, Xiao-Dong",Author,0.0,0.00149700598802,0.000979500001214
56,"Wang, Shuang",Author,0.0,0.00149700598802,0.000979500001214
57,"Wang, Yi",Author,0.0,0.00149700598802,0.000979500001214
58,"Agol, Eric",Author,0.0159053998436,0.00449101796407,0.00174992868047
59,"Steffen, Jason",Author,0.0,0.00149700598802,0.000743558130653
60,"Sari, Re'em",Author,0.0,0.00149700598802,0.000743558130653
61,"Clarkson, Will",Author,0.0,0.00149700598802,0.000743558130653
62,"Burrows, Adam",Author,0.00600759977343,0.00449101796407,0.00173159585799
