id,source,target,weight
0,0,1,1
1,0,2,1
2,0,3,1
3,0,4,1
4,0,5,1
5,0,518,1
6,0,11,1
7,0,12,1
8,0,22,1
9,0,517,1
10,0,52,1
11,0,53,1
12,0,54,1
13,0,571,1
14,0,574,1
15,0,67,1
16,0,68,1
17,0,69,1
18,0,75,1
19,0,82,1
20,0,600,1
21,0,601,1
22,0,602,1
23,0,100,1
24,0,101,1
25,0,112,1
26,0,113,1
27,0,114,1
28,0,115,1
29,0,116,1
30,0,117,1
31,0,118,1
32,0,119,1
33,0,120,1
34,0,121,1
35,0,122,1
36,0,123,1
37,0,124,1
38,0,125,1
39,0,126,1
40,0,138,1
41,0,139,1
42,0,140,1
43,0,141,1
44,0,142,1
45,0,143,1
46,0,150,1
47,0,152,1
48,0,153,1
49,0,174,1
50,0,175,1
51,0,176,1
52,0,177,1
53,0,178,1
54,0,179,1
55,0,180,1
56,0,181,1
57,0,182,1
58,0,183,1
59,0,184,1
60,0,186,1
61,0,187,1
62,0,188,1
63,0,189,1
64,0,190,1
65,0,191,1
66,0,192,1
67,0,193,1
68,0,194,1
69,0,195,1
70,0,196,1
71,0,197,1
72,0,198,1
73,0,200,1
74,0,201,1
75,0,216,1
76,0,220,1
77,0,224,1
78,0,226,1
79,0,227,1
80,0,238,1
81,0,242,1
82,0,243,1
83,0,244,1
84,0,245,1
85,0,246,1
86,0,247,1
87,0,248,1
88,0,249,1
89,0,250,1
90,0,251,1
91,0,252,1
92,0,257,1
93,0,258,1
94,0,259,1
95,0,263,1
96,0,277,1
97,0,288,1
98,0,289,1
99,0,298,1
100,0,299,1
101,0,300,1
102,0,301,1
103,0,302,1
104,0,303,1
105,0,304,1
106,0,312,1
107,0,313,1
108,0,315,1
109,0,316,1
110,0,318,1
111,0,319,1
112,0,332,1
113,0,346,1
114,0,347,1
115,0,348,1
116,0,349,1
117,0,350,1
118,0,351,1
119,0,352,1
120,0,366,1
121,0,367,1
122,0,368,1
123,0,369,1
124,0,370,1
125,0,371,1
126,0,372,1
127,0,373,1
128,0,374,1
129,0,379,1
130,0,386,1
131,0,387,1
132,0,388,1
133,0,389,1
134,0,390,1
135,0,391,1
136,0,469,1
137,0,470,1
138,0,471,1
139,0,473,1
140,0,474,1
141,1,2,1
142,1,3,1
143,1,4,1
144,1,5,1
145,1,518,1
146,1,11,1
147,1,12,1
148,1,22,1
149,1,517,1
150,1,52,1
151,1,53,1
152,1,54,1
153,1,571,1
154,1,574,1
155,1,67,1
156,1,68,1
157,1,69,1
158,1,75,1
159,1,82,1
160,1,600,1
161,1,601,1
162,1,602,1
163,1,100,1
164,1,101,1
165,1,112,1
166,1,113,1
167,1,114,1
168,1,115,1
169,1,116,1
170,1,117,1
171,1,118,1
172,1,119,1
173,1,120,1
174,1,121,1
175,1,122,1
176,1,123,1
177,1,124,1
178,1,125,1
179,1,126,1
180,1,138,1
181,1,139,1
182,1,140,1
183,1,141,1
184,1,142,1
185,1,143,1
186,1,150,1
187,1,152,1
188,1,153,1
189,1,174,1
190,1,175,1
191,1,176,1
192,1,177,1
193,1,178,1
194,1,179,1
195,1,180,1
196,1,181,1
197,1,182,1
198,1,183,1
199,1,184,1
200,1,186,1
201,1,187,1
202,1,188,1
203,1,189,1
204,1,190,1
205,1,191,1
206,1,192,1
207,1,193,1
208,1,194,1
209,1,195,1
210,1,196,1
211,1,197,1
212,1,198,1
213,1,200,1
214,1,201,1
215,1,216,1
216,1,220,1
217,1,224,1
218,1,226,1
219,1,227,1
220,1,238,1
221,1,242,1
222,1,243,1
223,1,244,1
224,1,245,1
225,1,246,1
226,1,247,1
227,1,248,1
228,1,249,1
229,1,250,1
230,1,251,1
231,1,252,1
232,1,257,1
233,1,258,1
234,1,259,1
235,1,263,1
236,1,277,1
237,1,288,1
238,1,289,1
239,1,298,1
240,1,299,1
241,1,300,1
242,1,301,1
243,1,302,1
244,1,303,1
245,1,304,1
246,1,312,1
247,1,313,1
248,1,315,1
249,1,316,1
250,1,318,1
251,1,319,1
252,1,332,1
253,1,346,1
254,1,347,1
255,1,348,1
256,1,349,1
257,1,350,1
258,1,351,1
259,1,352,1
260,1,366,1
261,1,367,1
262,1,368,1
263,1,369,1
264,1,370,1
265,1,371,1
266,1,372,1
267,1,373,1
268,1,374,1
269,1,379,1
270,1,386,1
271,1,387,1
272,1,388,1
273,1,389,1
274,1,390,1
275,1,391,1
276,1,469,1
277,1,470,1
278,1,471,1
279,1,473,1
280,1,474,1
281,2,3,1
282,2,4,1
283,2,5,1
284,2,518,1
285,2,11,1
286,2,12,1
287,2,22,1
288,2,517,1
289,2,52,1
290,2,53,1
291,2,54,1
292,2,571,1
