id,source,target,weight
0,3,4,2
1,3,5,2
2,3,11,2
3,3,12,2
4,3,174,2
5,3,175,2
6,3,176,2
7,3,177,2
8,3,178,2
9,3,179,2
10,3,180,2
11,3,277,2
12,3,22,2
13,3,183,2
14,3,184,2
15,3,182,2
16,3,181,2
17,4,5,2
18,4,11,2
19,4,12,2
20,4,174,2
21,4,175,2
22,4,176,2
23,4,177,2
24,4,178,2
25,4,179,2
26,4,180,2
27,4,277,2
28,4,22,2
29,4,183,2
30,4,184,2
31,4,182,2
32,4,181,2
33,5,22,2
34,5,11,2
35,5,12,2
36,5,174,2
37,5,175,2
38,5,176,2
39,5,177,2
40,5,178,2
41,5,179,2
42,5,180,2
43,5,181,2
44,5,182,2
45,5,183,2
46,5,184,2
47,5,277,2
48,11,12,2
49,11,174,2
50,11,175,2
51,11,176,2
52,11,177,2
53,11,178,2
54,11,179,2
55,11,180,2
56,11,277,2
57,11,22,2
58,11,183,2
59,11,184,2
60,11,182,2
61,11,181,2
62,12,174,2
63,12,175,2
64,12,176,2
65,12,177,2
66,12,178,2
67,12,179,2
68,12,180,2
69,12,277,2
70,12,22,2
71,12,183,2
72,12,184,2
73,12,182,2
74,12,181,2
75,142,224,2
76,142,259,2
77,142,69,2
78,142,114,2
79,142,121,2
80,142,122,2
81,259,224,2
82,259,69,2
83,259,114,2
84,259,121,2
85,259,122,2
86,277,174,2
87,277,175,2
88,277,176,2
89,277,177,2
90,277,178,2
91,277,179,2
92,277,180,2
93,277,181,2
94,277,22,2
95,277,183,2
96,277,184,2
97,277,182,2
98,22,174,2
99,22,175,2
100,22,176,2
101,22,177,2
102,22,178,2
103,22,179,2
104,22,180,2
105,22,182,2
106,22,183,2
107,22,184,2
108,22,181,2
109,152,153,2
110,150,216,2
111,150,226,2
112,150,332,2
113,133,69,2
114,176,82,2
115,176,174,2
116,176,175,2
117,176,177,2
118,176,178,2
119,176,179,2
120,176,180,2
121,176,183,2
122,176,184,3
123,176,182,2
124,176,181,2
125,44,48,2
126,44,45,2
127,45,48,2
128,174,175,2
129,174,177,2
130,174,178,2
131,174,179,2
132,174,180,2
133,174,183,2
134,174,184,2
135,174,182,2
136,174,181,2
137,175,177,2
138,175,178,2
139,175,179,2
140,175,180,2
141,175,183,2
142,175,184,2
143,175,182,2
144,175,181,2
145,177,178,2
146,177,179,2
147,177,180,2
148,177,183,2
149,177,184,2
150,177,182,2
151,177,181,2
152,178,179,2
153,178,180,2
154,178,183,2
155,178,184,2
156,178,182,2
157,178,181,2
158,179,180,2
159,179,183,2
160,179,184,2
161,179,182,2
162,179,181,2
163,180,183,2
164,180,184,2
165,180,182,2
166,180,181,2
167,181,183,2
168,181,184,2
169,181,182,2
170,182,183,2
171,182,184,2
172,183,184,2
173,184,82,2
174,608,621,2
175,608,607,18
176,68,379,2
177,68,69,2
178,69,224,2
179,69,114,2
180,69,121,2
181,69,122,2
182,69,379,2
183,332,216,2
184,332,226,2
185,78,80,2
186,78,79,2
187,79,80,2
188,216,226,2
189,607,609,4
190,607,612,3
191,607,618,7
192,607,620,2
193,607,621,3
194,224,114,2
195,224,121,2
196,224,122,2
197,612,618,2
198,612,636,3
199,613,615,2
200,230,104,2
201,615,619,3
202,114,121,2
203,114,122,2
204,121,122,2
