id,label,node_type,zbetween_central,zdeg_central,zpagerank
3,"Riess, Adam G.",Author,0.0,0.320754716981,0.0190081607031
4,"Filippenko, Alexei V.",Author,0.0,0.320754716981,0.0190081607031
5,"Challis, Peter",Author,0.0,0.320754716981,0.0190081607031
11,"Jha, Saurabh",Author,0.0,0.320754716981,0.0190081607031
12,"Kirshner, Robert P.",Author,0.0,0.320754716981,0.0190081607031
259,"Frenk, C. S.",Author,0.0,0.11320754717,0.020645449378
277,"Gunn, J. E.",Author,0.0,0.320754716981,0.0190081607031
22,"Tonry, John",Author,0.0,0.320754716981,0.0190081607031
44,"Novoselov, K. S.",Author,0.0,0.0377358490566,0.0185185185185
45,"Geim, A. K.",Author,0.0,0.0377358490566,0.0185185185185
48,"Katsnelson, M. I.",Author,0.0,0.0377358490566,0.0185185185185
68,"Frenk, Carlos S.",Author,0.0,0.0377358490566,0.0104723293947
69,"White, Simon D. M.",Author,0.0145137880987,0.169811320755,0.0343462407261
332,"Soifer, B. T.",Author,0.0,0.0566037735849,0.0185185185185
78,"Arkani-Hamed, Nima",Author,0.0,0.0377358490566,0.0185185185185
79,"Dimopoulos, Savas",Author,0.0,0.0377358490566,0.0185185185185
80,"Dvali, Gia",Author,0.0,0.0377358490566,0.0185185185185
82,"Kennicutt, Robert C., Jr.",Author,0.0,0.0377358490566,0.00475204017577
607,The Astrophysical Journal,Journal,0.0123367198839,0.11320754717,0.0565926688779
608,The Astronomical Journal,Journal,0.0,0.0377358490566,0.0292966969156
609,The Astrophysical Journal Supplement Series,Journal,0.0,0.0188679245283,0.00797815452611
612,Nature,Journal,0.00435413642961,0.0566037735849,0.0163775585391
613,Physical Review Letters,Journal,0.0,0.0188679245283,0.0119626209704
615,Physical Review D,Journal,0.000725689404935,0.0377358490566,0.0270378920185
104,"Mohapatra, Rabindra N.",Author,0.0,0.0188679245283,0.0185185185185
618,Monthly Notices of the Royal Astronomical Society,Journal,0.0,0.0377358490566,0.0153586744095
619,Physics Letters B,Journal,0.0,0.0188679245283,0.0165550425666
620,Reviews of Modern Physics,Journal,0.0,0.0188679245283,0.00537796615194
621,Annual Review of Astronomy and Astrophysics,Journal,0.0,0.0377358490566,0.00916829496722
114,"Ferguson, Henry C.",Author,0.0,0.11320754717,0.020645449378
121,"Giavalisco, Mauro",Author,0.0,0.11320754717,0.020645449378
122,"Steidel, Charles C.",Author,0.0,0.11320754717,0.020645449378
379,"Hernquist, Lars",Author,0.0,0.0377358490566,0.0104723293947
636,Nature Physics,Journal,0.0,0.0188679245283,0.00799813376092
133,"Springel, Volker",Author,0.0,0.0188679245283,0.00602158940192
142,"Kaiser, N.",Author,0.0,0.11320754717,0.020645449378
150,"Woosley, S. E.",Author,0.0,0.0566037735849,0.0185185185185
152,"Balbus, Steven A.",Author,0.0,0.0188679245283,0.0185185185185
153,"Hawley, John F.",Author,0.0,0.0188679245283,0.0185185185185
174,"Magorrian, John",Author,0.0,0.320754716981,0.0190081607031
175,"Tremaine, Scott",Author,0.0,0.320754716981,0.0190081607031
176,"Richstone, Douglas",Author,0.00580551523948,0.339622641509,0.0214846202134
177,"Bender, Ralf",Author,0.0,0.320754716981,0.0190081607031
178,"Bower, Gary",Author,0.0,0.320754716981,0.0190081607031
179,"Dressler, Alan",Author,0.0,0.320754716981,0.0190081607031
180,"Faber, S. M.",Author,0.0,0.320754716981,0.0190081607031
181,"Gebhardt, Karl",Author,0.0,0.320754716981,0.0190081607031
182,"Green, Richard",Author,0.0,0.320754716981,0.0190081607031
183,"Grillmair, Carl",Author,0.0,0.320754716981,0.0190081607031
184,"Kormendy, John",Author,0.00580551523948,0.339622641509,0.0214846202134
216,"Heckman, Timothy M.",Author,0.0,0.0566037735849,0.0185185185185
224,"White, S. D. M.",Author,0.0,0.11320754717,0.020645449378
226,"Rieke, G. H.",Author,0.0,0.0566037735849,0.0185185185185
230,"Steinhardt, Paul J.",Author,0.0,0.0188679245283,0.0185185185185
