id,source,target,weight
0,256,450,2
1,256,451,2
2,256,296,2
3,256,457,2
4,256,267,2
5,256,269,2
6,256,146,2
7,256,414,2
8,256,153,2
9,256,154,2
10,256,444,2
11,256,445,2
12,256,446,2
13,256,63,2
14,5,6,2
15,5,7,2
16,5,13,2
17,5,14,2
18,5,77,2
19,5,24,2
20,5,211,2
21,5,212,2
22,5,213,2
23,5,214,2
24,5,215,2
25,5,216,2
26,5,217,2
27,5,218,2
28,5,219,2
29,5,220,2
30,6,7,2
31,6,13,2
32,6,14,2
33,6,77,2
34,6,24,2
35,6,211,2
36,6,212,2
37,6,213,2
38,6,214,2
39,6,215,2
40,6,216,2
41,6,217,2
42,6,218,2
43,6,219,2
44,6,220,2
45,7,13,2
46,7,14,2
47,7,77,2
48,7,24,2
49,7,211,2
50,7,212,2
51,7,213,2
52,7,214,2
53,7,215,2
54,7,216,2
55,7,217,2
56,7,218,2
57,7,219,2
58,7,220,2
59,267,450,2
60,267,451,2
61,267,296,2
62,267,457,2
63,267,146,2
64,267,153,2
65,267,154,2
66,267,444,2
67,267,445,2
68,267,446,2
69,267,63,2
70,13,77,2
71,13,14,2
72,13,24,2
73,13,211,2
74,13,212,2
75,13,213,2
76,13,214,2
77,13,215,2
78,13,216,2
79,13,217,2
80,13,218,2
81,13,219,2
82,13,220,2
83,14,77,2
84,14,24,2
85,14,211,2
86,14,212,2
87,14,213,2
88,14,214,2
89,14,215,2
90,14,216,2
91,14,217,2
92,14,218,2
93,14,219,2
94,14,220,2
95,146,450,2
96,146,451,2
97,146,296,2
98,146,457,2
99,146,153,2
100,146,154,2
101,146,444,2
102,146,445,2
103,146,446,2
104,146,63,2
105,217,77,2
106,217,216,2
107,217,211,2
108,217,212,2
109,217,213,2
110,217,214,2
111,217,215,2
112,217,24,2
113,217,218,2
114,217,219,2
115,217,220,2
116,24,77,2
117,24,211,2
118,24,212,2
119,24,213,2
120,24,214,2
121,24,215,2
122,24,216,2
123,24,218,2
124,24,219,2
125,24,220,2
126,153,450,2
127,153,451,2
128,153,296,2
129,153,457,2
130,153,154,2
131,153,444,2
132,153,445,2
133,153,446,2
134,153,63,2
135,154,450,2
136,154,451,2
137,154,296,2
138,154,457,2
139,154,444,2
140,154,445,2
141,154,446,2
142,154,63,2
143,539,548,13
144,539,549,2
145,539,552,2
146,539,553,6
147,539,540,17
148,539,541,3
149,540,553,2
150,414,269,2
151,548,552,2
152,165,63,2
153,296,450,2
154,296,451,2
155,296,457,2
156,296,444,2
157,296,445,2
158,296,446,2
159,296,63,2
160,186,96,2
161,186,345,2
162,186,240,2
163,186,220,2
164,186,212,2
165,444,450,2
166,444,451,2
167,444,457,2
168,444,445,2
169,444,446,2
170,444,63,2
171,445,450,2
172,445,451,2
173,445,457,2
174,445,446,2
175,445,63,2
176,62,63,2
177,63,450,2
178,63,451,2
179,63,457,2
180,63,446,2
181,450,451,2
182,450,457,2
183,450,446,2
184,451,457,2
185,451,446,2
186,457,446,2
187,459,77,2
188,77,216,2
189,77,211,2
190,77,212,2
191,77,213,2
192,77,214,2
193,77,215,2
194,77,218,2
195,77,219,2
196,77,220,2
197,211,216,2
198,211,212,2
199,211,213,2
200,211,214,2
201,211,215,2
202,211,218,2
203,211,219,2
204,211,220,2
205,212,96,2
206,212,240,2
207,212,216,2
208,212,213,2
209,212,214,2
210,212,215,2
211,212,345,2
212,212,219,2
213,212,220,3
214,212,218,2
215,213,216,2
216,213,214,2
217,213,215,2
218,213,218,2
219,213,219,2
220,213,220,2
221,214,216,2
222,214,215,2
223,214,218,2
224,214,219,2
225,214,220,2
226,215,216,2
227,215,218,2
228,215,219,2
229,215,220,2
230,216,218,2
231,216,219,2
232,216,220,2
233,345,96,2
234,345,220,2
235,345,240,2
236,218,219,2
237,218,220,2
238,219,220,2
239,220,96,2
240,220,240,2
241,96,240,2
