id,source,target
0,0,364
1,1,364
2,2,365
3,3,365
4,4,365
5,5,365
6,6,365
7,7,365
8,8,365
9,9,365
10,10,365
11,11,365
12,12,365
13,13,365
14,14,365
15,15,365
16,16,365
17,17,365
18,18,365
19,19,365
20,20,365
21,21,365
22,22,365
23,23,365
24,24,365
25,25,365
26,26,365
27,27,365
28,28,365
29,29,365
30,30,365
31,31,365
32,32,365
33,33,365
34,34,365
35,35,365
36,36,365
37,37,365
38,38,365
39,38,366
40,39,365
41,39,366
42,40,365
43,40,366
44,41,366
45,42,366
46,43,366
47,44,366
48,45,366
49,46,365
50,46,366
51,47,365
52,47,366
53,48,366
54,49,366
55,50,366
56,51,366
57,52,366
58,53,366
59,54,366
60,55,366
61,56,366
62,57,365
63,57,366
64,58,364
65,59,364
66,60,367
67,61,367
68,62,367
69,63,367
70,64,367
71,65,367
72,66,367
73,67,367
74,68,367
75,69,367
76,70,367
77,71,367
78,72,367
79,73,367
80,74,367
81,75,367
82,76,367
83,77,368
84,78,368
85,79,369
86,80,369
87,81,370
88,82,370
89,82,379
90,83,365
91,84,365
92,85,365
93,86,367
94,87,367
95,88,367
96,89,367
97,90,367
98,91,367
99,92,367
100,93,367
101,94,371
102,95,365
103,96,378
104,96,365
105,97,378
106,97,365
107,98,364
108,99,364
109,100,372
110,101,372
111,102,373
112,103,373
113,103,382
114,104,366
115,105,366
116,106,366
117,107,366
118,108,366
119,109,366
120,110,366
121,111,366
122,112,366
123,113,366
124,114,366
125,115,366
126,116,366
127,117,366
128,118,366
129,119,366
130,120,366
131,121,366
132,122,366
133,123,366
134,124,366
135,125,366
136,126,366
137,127,366
138,128,366
139,129,366
140,130,366
141,131,366
142,132,366
143,133,366
144,134,366
145,135,365
146,136,374
147,137,374
148,138,373
149,139,373
150,140,375
151,141,365
152,141,366
153,141,375
154,142,373
155,143,373
156,144,373
157,145,376
158,146,376
159,147,376
160,148,373
161,149,373
162,150,373
163,151,373
164,152,377
165,152,365
166,153,366
167,154,375
168,155,378
169,156,378
170,157,378
171,158,378
172,159,378
173,160,379
174,160,365
175,161,367
176,162,367
177,163,373
178,164,373
179,165,373
180,166,373
181,167,373
182,168,373
183,169,373
184,170,373
185,171,373
186,172,379
187,173,379
188,174,373
189,175,373
190,176,373
191,177,373
192,178,373
193,179,367
194,180,380
195,181,381
196,182,381
197,183,381
198,184,381
199,185,381
200,186,381
201,187,381
202,188,381
203,189,381
204,190,381
205,191,381
206,192,381
207,193,381
208,194,381
209,195,381
210,196,381
211,197,381
212,198,381
213,199,381
214,200,381
215,201,381
216,202,381
217,203,381
218,204,381
219,205,381
220,206,381
221,207,381
222,208,381
223,209,381
224,210,381
225,211,381
226,212,381
227,213,381
228,214,373
229,215,373
230,216,373
231,217,365
232,218,365
233,219,375
234,220,366
235,221,366
236,222,366
237,223,366
238,224,366
239,225,366
240,226,366
241,227,382
242,228,375
243,229,382
244,230,382
245,231,382
246,232,373
247,233,373
248,234,373
249,235,365
250,236,377
251,237,383
252,238,384
253,239,384
254,240,385
255,241,365
256,242,365
257,243,365
258,244,365
259,245,365
260,246,365
261,247,365
262,248,365
263,249,365
264,250,365
265,251,365
266,252,365
267,253,365
268,254,365
269,255,365
270,256,384
271,257,386
272,258,386
273,259,378
274,259,374
275,260,387
276,261,387
277,262,387
278,263,366
279,264,379
280,265,384
281,266,384
282,267,379
283,268,379
284,269,379
285,270,365
286,271,365
287,272,365
288,273,365
289,274,365
290,275,365
291,276,373
292,277,373
293,278,374
294,279,382
295,280,365
296,281,365
297,282,365
298,283,388
299,284,388
300,285,388
301,286,367
302,287,367
303,288,365
304,289,365
305,290,382
306,291,382
307,292,382
308,293,379
309,294,378
310,295,378
311,296,378
312,297,378
313,298,378
314,299,378
315,300,378
316,301,378
317,302,378
318,303,378
319,304,378
320,305,378
321,306,378
322,307,378
323,308,365
324,308,366
325,309,365
326,309,366
327,310,365
328,310,366
329,311,365
330,311,366
331,312,365
332,312,366
333,313,365
334,313,366
335,314,365
336,314,366
337,315,365
338,315,366
339,316,365
340,316,366
341,317,365
342,317,366
343,318,366
344,319,365
345,320,365
346,321,365
347,322,365
348,323,365
349,324,365
350,325,365
351,326,365
352,327,365
353,328,365
354,329,365
355,330,365
356,331,365
357,332,365
358,333,365
359,334,365
360,335,365
361,336,365
362,337,365
363,338,365
364,339,377
365,340,377
366,341,372
367,342,372
368,343,372
369,344,372
370,345,367
371,346,367
372,347,367
373,348,367
374,349,367
375,350,367
376,351,367
377,352,367
378,353,367
379,354,389
380,355,384
381,356,384
382,357,384
383,358,365
384,359,390
385,360,365
386,361,377
387,362,377
388,363,377
